id,title,description,availability,condition,price,link,image_link,brand,product_type
GLS-COLA-CAN,Glass' Cola Canette 12x25cl,Glass' Cola canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-COLA-CAN,https://oulmes.ma/images/GLS-COLA-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-COLA0-CAN,Glass' Cola Zéro Canette 12x25cl,Glass' Cola Zéro canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-COLA0-CAN,https://oulmes.ma/images/GLS-COLA0-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-COLA-12x33,Glass' Cola pack 12x33cl,Glass' Cola 12x33cl | Vendu par pack de 12,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-COLA-12x33,https://oulmes.ma/images/GLS-COLA-12x33.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-COLA-6x150,Glass' Cola pack 6x1.5L,Glass' Cola 6x1.5L | Vendu par pack de 6,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-COLA-6x150,https://oulmes.ma/images/GLS-COLA-6x150.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-COLA-6x1L,Glass' Cola pack 6x1L,Glass' Cola 6x1L | Vendu par pack de 6,in stock,new,30.00 MAD,https://oulmes.ma/produit/GLS-COLA-6x1L,https://oulmes.ma/images/GLS-COLA-6x1L.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-LIME-CAN,Glass' Lime Canette 12x25cl,Glass' Lime canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-LIME-CAN,https://oulmes.ma/images/GLS-LIME-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-LIME-6x1L,Glass' Lime pack 6x1L,Glass' Lime 6x1L | Vendu par pack de 6,in stock,new,30.00 MAD,https://oulmes.ma/produit/GLS-LIME-6x1L,https://oulmes.ma/images/GLS-LIME-6x1L.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-POM-CAN,Glass' Pomme Canette 12x25cl,Glass' Pomme canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-POM-CAN,https://oulmes.ma/images/GLS-POM-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-POM-12x33,Glass' Pomme pack 12x33cl,Glass' Pomme 12x33cl | Vendu par pack de 12,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-POM-12x33,https://oulmes.ma/images/GLS-POM-12x33.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-POM-6x150,Glass' Pomme pack 6x1.5L,Glass' Pomme 6x1.5L | Vendu par pack de 6,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-POM-6x150,https://oulmes.ma/images/GLS-POM-6x150.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-POM-6x1L,Glass' Pomme pack 6x1L,Glass' Pomme 6x1L | Vendu par pack de 6,in stock,new,30.00 MAD,https://oulmes.ma/produit/GLS-POM-6x1L,https://oulmes.ma/images/GLS-POM-6x1L.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-TONIC-CAN,Glass' Tonic Canette 12x25cl,Glass' Tonic canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-TONIC-CAN,https://oulmes.ma/images/GLS-TONIC-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-TONIC-6x1L,Glass' Tonic pack 6x1L,Glass' Tonic 6x1L | Vendu par pack de 6,in stock,new,30.00 MAD,https://oulmes.ma/produit/GLS-TONIC-6x1L,https://oulmes.ma/images/GLS-TONIC-6x1L.jpg,GLASS',Boisson gazeuse > GLASS'
